ID,Sprint,Modulo,Epica,Tipo,Rol,Historia,Criterios_Aceptacion,Permisos_Requeridos,Tablas_Involucradas,Estimacion_Pts,Prioridad
F2C-B-06,B,Gantt,Dependencias,TEC,Desarrollador,"Algoritmo de validación de dependencias circulares","Service detecta ciclos via DFS antes de guardar. Mensaje claro: 'Esta dependencia generaría un ciclo: A→B→C→A'.","-","gmc_actividad_dependencias",3,Alta
F2C-B-07,B,Gantt,Dependencias,TEC,Desarrollador,"Recálculo automático de fechas según dependencias","Al cambiar una actividad predecesora, las sucesoras se desplazan automáticamente respetando tipo+lag+calendario. Cascada controlada (no infinita).","-","gmc_actividades, gmc_actividad_dependencias",5,Alta
F2C-B-08,B,Gantt,Avance,HU,Jefe Proyecto/Gerencia,"Como JP quiero registrar el % de avance de cada actividad","Slider/input 0-100. Actualiza barra del Gantt visualmente. Recalcula porcentaje_avance del hito automáticamente. Auditoría.","obras.gantt.editar","gmc_actividades, gmc_hitos",3,Media
F2C-C-01,C,Gantt,CPM,TEC,Desarrollador,"Algoritmo Critical Path Method (CPM)","Service que calcula es_critica y holgura_dias para cada actividad usando forward+backward pass. Considera calendario del proyecto. Marca actividades críticas en rojo en Gantt.","-","gmc_actividades",8,Alta
F2C-C-02,C,Gantt,CPM,HU,Cualquier_rol,"Como usuario quiero ver la ruta crítica resaltada en el Gantt","Toggle 'Ver ruta crítica'. Las actividades críticas se muestran en rojo. Sidebar muestra duración total y holgura promedio.","obras.gantt.ver","gmc_actividades",2,Alta
F2C-C-03,C,Gantt,Alertas,TEC,Desarrollador,"Job CLI cli/gantt_alertas que envía correos de tareas retrasadas","Cron diario detecta actividades con fecha_termino_planificada < hoy y porcentaje_avance < 100. Envía correo al responsable + JP del proyecto. Encola en gmc_notificaciones.","-","gmc_actividades, gmc_notificaciones",3,Media
F2C-C-04,C,Gantt,Exporte,HU,Cualquier_rol,"Como usuario quiero exportar el Gantt a PDF","Botón 'Exportar PDF'. Renderiza Gantt vía html2canvas + mPDF. PDF apaisado A3, leyenda, ruta crítica, %.","obras.gantt.exportar","-",5,Media
F2C-C-05,C,Gantt,Exporte,HU,Cualquier_rol,"Como usuario quiero exportar el Gantt a PNG","Captura cliente-side con html2canvas. Descarga directa.","obras.gantt.exportar","-",2,Baja
F2C-C-06,C,Gantt,Reporte,HU,Gerencia/JP,"Como JP quiero ver reporte de avance vs planificado","Tabla con: hito, actividad, fecha planificada, fecha real, % planificado al día de hoy, % real, desviación días, semáforo verde/amarillo/rojo.","obras.gantt.ver","gmc_actividades",3,Alta
F2C-C-07,C,Gantt,Capacitacion,DOC,Tech Lead,"Capacitación específica de Gantt (60 min)","Sesión: planificación, hitos vs actividades, dependencias, ruta crítica, drag&drop. Datos sintéticos de demo. Acta firmada.","-","-",5,Alta
F2C-C-08,C,Gantt,Cierre,DOC,Tech Lead,"Acta de entrega Fase 2-C","Acta con criterios de aceptación verificados, alcance entregado, soporte 30 días, firmas.","-","-",2,Alta
